file_name,img_width,img_height,text
HCP - DERM Static Banner - H2H Tremfya_p1-5.png,1200,1280,"PP-lX—US—3613 600x500 %        talt‘E”  (ixekizumab)  \njectxon See the head-to-head data of Taltz vs. Tremfya®  (guselkumab)  View the results  mm 15 a registered trademark 0| Eh Lmy and Company, its subsidiaries. m amnams. Tlemfya"" is a mgisieved trademark ofJohnson a. Johnson Corporation.  PP-IX-US-Ssia ozxzazw LHly USA LLC 2020. All Rum; Reserved.           PPr‘XrUSr3613 © Lllly USA LLC 2020 All ""ng reserved Last modlﬂed Tue Feb 11 202016 53 58"
HCP - DERM Static Banner_p0-8.png,1200,1280,"PP-lX—US—31 99 W60X600  PPVIXVUSV3199 © Lllly USA, LLC 2021 All ""ng leserved  Discover what Taltz  can do for your patients     Last Modlﬂed 29 Oct 2021 3:46 PM"
HCP - DERM Static Banner_p1-12.png,1200,1280,"PP-lX—US—31 99 300x250     PPVIXVUSV3199 © Lllly USA, LLC 2021. All ngms Ieserved.  talt‘i  :\ A rw'dtu rw'tm'  Discover what  Taltz can do for your patients     Las‘ Modlﬁed 29 On 2021 3:46 PM"
HCP - DERM Static Banner_p2-16.png,1200,1280,"PP-lX—US—31 99 300X600  PPVIXVUSVCH 99 © Lllly USA, LLC 2021. All ""ng leserved.  Discover  what Taltz can do for your patients     Las‘ Modlﬂed 29 on 2021 3:46 PM"
HCP - DERM Static Banner_p3-20.png,1200,1280,"PP-lX—US—3199 600x500 mm,     taltz  (ixekizumab) injection  Discover what  Taltz can do for your patients     PPVIXVUSVCH 99 © Lllly USA, LLC 2021. All ""ng leserved. Las‘ Modlﬂed 29 On 2021 3:46 PM"
HCP - DERM Static Banner_p4-24.png,1200,1280,"PP-lX—US—3199 728x90 m     :m r mm H» m  talti Discover what Taltz can do for your patients  ‘mmwn m     PPVIXVUSVCH 99 © Lllly USA, LLC 2021. All ""ng leserved. Las‘ Modlﬂed 29 On 2021 3:46 PM"
HCP - RHEUM Static Banner MOA_p0-6.png,1200,1280,"PP—lX—US—226U W60X600     PPVIXVUSVZZED D Lilly USA, LLC 2018. All [igms IESEWEd.  EXPLORE DATA ABOUT  SPECIFIC TARGETING BY A NON-TNFi              55%  w mus mm mm muuyuslumzmg AH mm mm     Las‘ modiﬁed Thu An! 25 2019173238"
HCP - RHEUM Static Banner MOA_p1-10.png,1200,1280,"PP—lX—US—226U 300x250  E‘ PLL‘  [MT JT SPECIFIC TARGETING BY A NON-TNFi              «55%  » \xusazsammg 0tu m m: mm m mm ma        PPVIXVUSVZZED (D Lilly USA, LLC 2018. All [igms Ieserved. Las‘ modiﬁed Thu An! 25 2019173238"
HCP - RHEUM Static Banner MOA_p2-14.png,1200,1280,"PP—lX—US—226D 300x600     PPVIXVUSVZZED D Lilly USA, LLC 2018. All [igms IESEWEd.  EXPLORE DATA ABOUT SPECIFIC TARGETING BY A NON-TNFi        LEARN MORE  «55%           Las‘ modiﬁed Thu AW 25 2019173238"
HCP - RHEUM Static Banner MOA_p3-18.png,1200,1280,"PP—lX—US—226U 3“ 0x263                            PPVIXVUSVZZED (D Lilly USA, LLC 2018. All [igms Ieserved.  E\PLO 1 [N3 ” ” OUT SPECIFIC     TARGETING BY  A NON-TNFi     LEARN MORE  «55%  » \xusazsammg 0tu m m: mm m mm ma              Las‘ modiﬁed Thu An! 25 2019173238"
HCP - RHEUM Static Banner MOA_p4-22.png,1200,1280,"PP—lX—US—226U 728x90 54/29                                 EXPLORE DATA ABOUT SPECIFIC TARGETING BY A NON-TNFi  m an;  LEARN MORE                um r» M     ‘ u NML  PPVIXVUSVZZED D Lilly USA, LLC 2018. All [igms Ieserved. Las‘ modiﬁed Thu An! 25 2019173238"
HCP - RHEUM Static Banner MOA_p5-26.png,1200,1280,PP—IX—US—2260 54/29               EXPLORE DATA ABOUT SPECIFIC TARGETING BY A NON-TNFi           LEARN MORE ‘ v ﬂy
HCP - RHEUM Static Banner H2H_p0-6.png,1200,1280,"PP-lX—US—2262 160x600 %        talt?  uxukvwwm)mom  Introducing SPIRIT-HZH, a head-to-head trial of Tait:  vs Humira' (adaumumzb)  smmmzn .s a  ézwek vandnmlzed smy eva‘uanng we «may and satety at Mt: vs Humwz  SEE HZH DATA  m 5. mm mm wnsa “(.mnymmmm n: my. mmsmnmmrrmm mm mm‘nnmm no  r» \x us an mm m, us: Lmzma m HEM: um:           PPr‘XrUSrZZéZ (Z Lllly USA‘ LLC 2018 All rlgms reserved Lam modlﬁed Tue Apr 02 201914 05 47"
HCP - RHEUM Static Banner H2H_p1-10.png,1200,1280,"PP-lX—US—2262 300x250  PPr‘XVUSrZZGZ (Z Lllly USA‘ LLC 2018 All rlgms reserved     talt'i-  mmncm mum  Introducing SPIRIT-HZH, a head-m-head vial of Tan: vs Humirﬂadznmumam  5?»?me ‘5 3 mm randmwed mm mm m: misery m may m mm V: m.  SEE HZH DATA  “‘1' K: Wu “mum: mm m an HIV mm mm mm“ “MM mn- K: Wu mmm mums mummy m     w mm mm on MA mm Elia, .u vgm) ma        Las( modlﬂed Tue Apr 02 201914 05 47"
HCP - RHEUM Static Banner H2H_p2-14.png,1200,1280,"PP-lX—US-2262 300x600     PPr‘XrUSrZZéZ (C3 Lllly USA‘ LLC 2018 All ""ng reserved        talt‘E”  (ixekizumab) \njectxon  Introducing SPIRIT-HZH, a head-to-head trial of Taltz vs Humira'(adahmumah)  SPIRWHZH IS a 527week vandmmzed study eva‘ualmg the elﬁcacy and saVety m Tanz vs Humwa  SEE H2H DATA  van 5. mm mm wnsa 54 “mm m m w mm», “mm: :m mumu mm ‘3 . mmumm :54 mm “mm” m  wxuszznmamzwy us: um}; m um: um:        Last modlﬁed Tue Apr 02 201914 05 47"
HCP - RHEUM Static Banner H2H_p3-18.png,1200,1280,"PP-lX—US—2262 3W 0X263  PPr‘XVUSrZZGZ (Z Lllly USA‘ LLC 2018 All rlgms reserved        talt'i-  mmncm mum  Introducing SPIRIT»H2H, a head-to-head trial of Taltz vs Humirﬂadznmumam  5?»?me ‘5 a szwm randmwed mm mm 0: may m may m mm V: m.  SEE HZH DATA  uu'mreuvsm mmamwnmmummnvamlv “mm MM“ mum mymmmmmmmmmw  w xusm mm on 1m mm AH vghl) veﬂmd        Las( modlﬁed Tue Apr 02 201914 05 47"
HCP - RHEUM Static Banner H2H_p4-22.png,1200,1280,"PP-lX—US—2262 728x90 %        a. Introducing SPIRIT-HZH, a head-to-head 555 Hz"" mm % Faltzb) Irial of Tait: vs Humira’tadznmumab) Wy”ymyyyuyyzmyyayyyuay yxeazuma unamnmzumwanacmnm ymymyg mnmums: SPWZH s a 52mm vammnuzea sway wamz‘mg yum-my! yyyyyzymyyyaymemyyyy no WWW meeﬁlcacyand sammrzms Humwz rrwxvszzslgl'zuwwmwmn Lmznn Auvunmuma           PPr‘XrUSrZZéZ (Z Lllly USA LLC 2018 All rlgms reserved Lam modlﬁed Tue Apr 02 201914 05 47"
HCP - RHEUM Static Banner H2H_p5-26.png,1200,1280,"PP-lX—US—2262 960x63 %        uxemwam swmmzn \s z ﬁzmek vammmzed smdy mmung the Mary and may at Yam vs Humwz  ream wmmu mm 1mm m men ﬂy H mm mm m mum m mums Nmma""xavémsvmvanmmmanmammmmmnn mxusummmwa Lmznn A. Hwtsvawvm  talf‘i- lmmducing SPIRIT-HZH, a head-to-head trial of Talu vs Humira’(adanmuman) E a           PPr‘XrUSrZZéZ (CI Lllly USA‘ LLC 2018 All ""ng reserved Las‘ modlﬁed Tue Apr 02 201914 05 47"
HCP - RHEUM Static Mobile Banner H2H Study_p0-6.png,1200,1280,"PP-lX—US—2449 300x50 %           ""‘ an x mm: galtz, ”nué‘m’ma SEE H2H DNA v ‘ mvlmmymmy ,  nu mm               PPVIXVUSVZMQ © Lllly USA LLC 2018 All llghts leserved Last modlﬂed Wed Ma! 06 2019 20 20 01"
HCP - RHEUM Static Mobile Banner H2H Study_p1-10.png,1200,1280,PP-lX—US—2449 320x50 %        ‘9”? ”ﬁrm? SEE H2H um >  mummy mm M m M                PPVIXVUSVZMQ © Lllly USA LLC 2018 All rlgms reserved Last modlﬂed Wed Mar 06 2019 20 20 01
HCP - RHEUM Static Mobile Banner H2H_p0-6.png,1200,1280,"PP-lX—US—2447 300x50           talfi Introducing  um     SEE nzn mm ,  mm SPIRIT-H2""        PP71X7U572447 © Lllly USA LLC 2018 All rlgms reserved  Last modlﬂed Wed Mar 06 20191912 47"
HCP - RHEUM Static Mobile Banner H2H_p1-10.png,1200,1280,"PP-lX—US—2447 320x50 £6ng        ‘9 lmroducing , ﬁlﬁﬁmm SPIRIT-HZH Sim"" ”A”           PP71X7U572447 © Lllly USA LLC 2018 All rlgms reserved Last modlﬂed Wed Mar 06 20191912 47"
HCP - RHEUM Static Banner_p0-6.png,1200,1280,PP-lX—US—2261 160x600     PP71X7U872261 (Z Lllly USA‘ LLC 2018 All rlgms reserved     talt‘E‘  [\xeszumab) \njeclwon  Results from a head-to-head superiority study  r  5:: m mun  m.-mmmmmmn m mm by [u wry-m mmHY  m Us 2151 mm mm m. w: 2013 m mm: mm           Last modlﬂed Mon Apr15 201918 59 22
HCP - RHEUM Static Banner_p1-10.png,1200,1280,"PP-lX—US—2261 300x250     PPr‘XrUSrZZé1 © Lllly USA LLC 2018 All rlgms reserved        '6‘ taltz nxewzumanmecnun Results from a head-to-head superiority study  sac m mun  ummmmmmam m mm m m mm mm  m:;’:::::::::“;m &, ,        Last modlﬂed Mon Apr15 201918 59 22"
HCP - RHEUM Static Banner_p2-14.png,1200,1280,"PP-lX—US—2261 300x50           13M?  mm mm. .  mu m ma SEE H2H DATA > ”WW ““""Y w ommmxmm        PPrerUSrZZé1 © Lllly USA LLC 2018 All rlgms reserved  Last modlﬂed Mon Apr15 201918 59 22"
HCP - RHEUM Static Banner_p3-18.png,1200,1280,"PP-lX—US—2261 300x600         taItE-  (ixekizu mab) injection  Results from a head-to-head superiority study  5:: m mun ~,  mm.“mama.”mmmmmuuwmmm  nmmmnmums. Luzon magnum.“           PP71X7U872261 (Z Lllly USA‘ LLC 2018 All rlgms reserved               Las1m0dlﬁed Mon Apr15 201918 59 22"
HCP - RHEUM Static Banner_p4-22.png,1200,1280,"PP-lX—US—2261 310x263     PP71X7U572261 © Lllly USA LLC 2018 All rlgms reserved        '6‘ taltz nxewzumanmecnun Results from a head-to-head superiority study  sac m mun  um'uszgumvmemvxam m mm m m mm mm  m:;’:::::::::“;m &, ,        Last modlﬂed Mon Apr15 201918 59 22"
HCP - RHEUM Static Banner_p5-26.png,1200,1280,PP-lX—US—2261 320x50           m2  mum mm. . mu m ma mummy mm  SEE H2H DATA >  W a: whim 77 xx m m        PPrerUSrZZé1 © Lllly USA LLC 2018 All rlgms reserved  Last modlﬂed Mon Apr15 201918 59 22
HCP - RHEUM Static Banner_p6-30.png,1200,1280,"PP-lX—US—2261 728x90 E a        memo"" superiority study rmx Us 2151 mm m m.     taltvi Results from a 31%;???“ {\xekvnman) head-to-head mmL “MK; 52%,        PP71X7U872261 (Z Lllly USA‘ LLC 2018 All rlgms reserved Las1m0dlﬂed Mon Apr15 201918 59 22"
HCP - RHEUM Static Banner_p7-34.png,1200,1280,"PP-lX—US—2261 960x63 %        wmmummam  “A Results from a head-to-head mmwmmmm Exeak‘EEnzauz‘nject‘on superiority study i 5%, :1:”::‘;;‘;;::;;7;‘:3W           PP71X7U872261 (Z Lllly USA‘ LLC 2018 All rlgms reserved Las1m0dlﬁed Mon Apr15 201918 59 22"
HCP - RHEUM Animated Banner H2H_p0-76.png,159,598,"talt‘i  {\xeszumdb} mectwon somg/mL     (adahmumab) in PsA  A  mmcmaus AND IMPORTANT SAFE"" INFDRMATION  m1 ‘5 mm vuvymv  aml pan-ms Mm mm Dsw-m: mm mm \s m [Mal-mm yml mm an...“ mm mm. m s-uu pm- mums mm 2.. annulus 1m syn-m; umwy m pmmy-w     cmnumcmms"
HCP - RHEUM Animated Banner H2H_p1-3.png,159,598,"talt‘i  {\xeszumdb} wacnon somg/mL  Taltz vs Humira in PsA  Introducing the first ever  head-to-head results Vs Humira in psorialic arthritis  mmcmaus AND IMPORTANT SAFE"" INFDRMATION  m1 ‘5 mm vuvymv aml pan-ms Mm mm Dsw-m: mm mm \s m [Mal-mm yml  an...“ m m  s-uu pm- pm mm 2.. annulus 1m syn-m; umwy m pmmy-w  cmnumcmms"
HCP - RHEUM Animated Banner H2H_p2-6.png,159,598,taltz  [\xcwzumab) injechon w mg/nl  Taltz VS Humira“ (adahvwv‘vab) in PsA  6‘  SEE THE HEAD-TO-HEAD DATA )         1:1chqu mm lumlmm urav mmmumou  m1 u Mum-a YUY‘IMY mm mm; m m mum: mm m u m [mum m yum mun Dun-ms mm mod-m- m am pm» pmruns mm m ummm my mum muwy m mun-may  mum
HCP - RHEUM Animated Banner H2H_p3-9.png,300,248,talt’z  Taltz vs Humil’aELadahmumb) in PsA  mrnmxnou mlusmluuavuvvmvmun n-msmmzmv snn
HCP - RHEUM Animated Banner H2H_p4-12.png,300,248,"talt’z  Taltz vs Humira in PsA  mummg me «,5. evev head (a ma results vs Humlm m Dsnnzllc mm;  INDICATIDNS AND IMPORTAMI sAFErv ' mrnmxnou  m \s mum mm mm"" nun-ms mm mm mm s um"
HCP - RHEUM Animated Banner H2H_p5-15.png,300,248,Taltz vs Humil'ammammab» In PsA  ‘4‘  5:: m HEAD mum: om >  mm     mime»: AND woman! arm mmmumou  nu: u mum-a my
HCP - RHEUM Animated Banner H2H_p6-18.png,300,598,"talt‘i  {\xeszumdb} mectwon sums/m  Taltz vs  Humira® (adaHmumab)  In PsA  INDICATIDNS AND umnnuv sAFErv INFDRMATION  m: ‘5 MW vukuv mun nun-ms mm mm mm mm Tm \smlnilm 1m you! mm mm mm mm. m sluvl 9mm mm m ,. mum my mum "".va m wnmm-vluy  cumnmmcmnus  m1 “mum-mm pin-msmm unwmssmms ""YD-mummy mum. m. as mum-am m mmmmm  m In W m m. nxuphms wummss mu mam-mans"
HCP - RHEUM Animated Banner H2H_p7-21.png,300,598,"talt‘i  {\xeszumdb} mectwon sums/m  Taltz vs Humira in PsA  Introducing the first ever head-to-head  results vs Humira in psoriatic arthritis  1‘  mm  INDICATIDNS AND IMPORTANI sAFErv ' INFDRMATION  m: ‘5 MW vukuv mun nun-ms mm mm mm mm Tm \smlnilm 1m you! H mm mm mm. m sluvl 9mm mm mm _,. mum my mum "".va m wnmm-vluy  cumnmmcmnus  mm \s cmuunm; m pin-ms mm . mm smms ""YD-mummy msums-n-wm m mmmmm m In W m m. nxuphms  wummss mu mam-mans"
HCP - RHEUM Animated Banner H2H_p8-24.png,300,598,"taltz  (\xeklzumab) m ectwun  Taltz vs  Humira® (adalimumab)  in PsA  x’r‘  SEE THE HEAD-TO-HEAD DATA >  mm        ""momma um mam"" sum ' Imnumou  m1 u mum-a mum mun mm mm mm mm: mm m u .m ""mm W mm mm mm: mm m...- m mm 9mm plum mm m umum my syn-mic Immw m Mum-mu!  mum  m2 ummmmam Din-mmm lawman-mm; n1wmmwnylnmm,mmumIWM-Im mmmmmm m In any at m. mam-rm  mammal mu mum"
HCP - RHEUM Animated Banner H2H_p9-27.png,309,262,"talt’z  Taltz vs Humil‘amwdahmumab) in PsA     new»; lnlmmman INDICATIONS AND IMPORTANI SAFEI'V ' INFDRMATION  m \s mum mm mm"" nun-ms mm mm mm mm mm \susnlnilm-u 1m you! .me plums mm"
HCP - RHEUM Animated Banner H2H_p10-30.png,309,262,"talt’z  Talu vs Humira in PsA  \mmducmg me lws‘ my neau-m-heaa resuus vs Humwa m Dsanahc anmms  6‘  new»;  INDICATIONS AND IMPORTANI SAFEI'V INFDRMATION  m \s mum mm mm"" nun-ms mm mm mm mm mm \smlnilmﬂ 1m yam .me plums mm"
HCP - RHEUM Animated Banner H2H_p11-33.png,309,262,"talt‘i  WM am 1mm ...,,..  Taltz vs Humira®¢adawwmm in PsA 4‘  SEE THE HEADVTOVHEAD DATA > mmngmmmm        ""momma um woman"" sum "" Imnumou  nu: u mum-a mm mun mm mm mm mm: annnuxmuum mmvwmamummann"
HCP - RHEUM Animated Banner H2H_p12-36.png,728,88,": . ® taltz Taltzvs Humlra (adahmumab) A :ﬁ:§;m“‘gr§,f""°'“""°m""wm  wewmah  u MW in PSA m1 ‘5 Mhmvuvymvmunnm-msmmmm tom/m"
HCP - RHEUM Animated Banner H2H_p13-39.png,728,88,"talt‘z mu vs Humira in PsA A mggmrgwmmmw SAFE"" mmmn mmm thehvs|ev¢r w W mm” W.“ “Sim, m pm “WV ‘s mummmnmm  tom/m nsw-uc mm mm \s m mum m m. mun     Dm-msmmmmu mswl nmu-pmmsswnuzn"
HCP - RHEUM Animated Banner H2H_p14-42.png,728,88,"MP mum     taIt‘Z‘ Taltz vs Hum amudmvmmu]     mums AND IIPDR’IANI mm I  mkmm.‘ in psA mronumou Mun SEE w mlzwxmkmmvymvmunnm-msmmmm Inn/mt v"" HEAD [0 HEAD UNA) nxwmannnuxm‘xunlnlmvnvynmmml  Dun-ms mm Mon-mt- m m"" nmu- mm... mm u."
HCP - RHEUM Animated Banner H2H_p15-45.png,960,62,"It’i - a "" ”om ngmmem Taltz vs Humlra (ddahmumal) In PsA :""Fummou sun-mm . .. H"
HCP - RHEUM Animated Banner H2H_p16-48.png,960,62,"talt’i Tallz vs Humira in PM A mmmm » ‘ , IchAmus an"
HCP - RHEUM Animated Banner H2H_p17-51.png,960,62,‘ mmm  Taltz vs Humira     mm mm am in PsA  ‘4‘  SEE THE HEAD-TO-HEAD DATA)  P . .        mmcmaus mu nmvmmv SAFEI'V  mmmnuu mm
HCP - RHEUM Animated Banner H2H_p18-54.png,300,826,"""momma um mam"" mm ""summon  ml: y; mm” my my my ulnar“: mm mm nsmym xrlrmlyx um y: m Inalnmwvwwamn mymmyyyy ""mama m swirl 9mm mum mm In amyam my syn-my: Immw av mmmy  mum-cm  mu yimmmnmcaﬂn‘ﬂ nxnmxmm npmym 5mm: nywmwwtncnm,wmu mam-us m yx-kyxuman m w my L7! m. mm;  «mm: Ann mm  ""11mm  uylz yyyamcyun m- nskmym-mnn mcumcamwmwaum mm mm uumsym. mugmunmnx Ngmvm-m yyyymyy; mm m- mambo numb «27-1. vs my A «mm  mm: . musk mymmyw my.“ \nnymnwmmm may: mum-mm mm: mm Samus yyymym; nzvn cumin Inilmn mm m an mm any/Ion yy m n! swmamim cumnaW \mvmumcmnmcmacuu ymcnnn my yy .uyymynymyuyy mwywmmyym. murmur» mummy msmvu  mummy Evallmlnn y... yummy.  mym 9mm: yny Inn-mum‘s nay mimicry my m yyyyyymg v-mm mm Yam Du um mmymmv m pansy“: my. mm ya yyyymyy mm mymm m mm vs pnuvm mm. nu mlz cym‘ymomnwmlnls mywyyq mu ymygyynm sVNnIumi m mv- mammg mmyymymyyyy  my» lnumﬂv  5mm yyymymymyymymyy; wcyunmvlnqyummlana Amman: ymm V'ancumumml nylzgmuwndwm mm AHIP’MIX‘S yyymyyq ummmyqu nuimhumarwn hunllpmaum paxl-nurk-nng nu Mm mu yy. smms yyw-ys-ymyyyyy tummy ncmrx. mmnunua mu .yymyzmy .m ynmam zpwapyyay. mums)!  yyyyymyyuyary mm Dim  wyyyyg mu lmalmam. yyymyyyny mam: yuy mm m .xmmmmyyyyyy.yyyymnyynmays.u. mummy“. m Mmmumm mummy sxmmmyansnwumuxu gummy-Wm yyy. mu waCmnmmumn m uyummymmm yyyym unanaamunmm my» ayymy mzysyn nmm mm Wm Wm  ymyyyuyyumm  mm m mummg yyymay wyyyy uylz, Damian mpwyyuyy yyy .yy :DI-zwmwau \mnmmzanom mm» It: mm ymmumnnm 9mm Avomunnumwcmu \nuammxlvuw wym uyyz  um am  my comma"" lawn-yummy: {my wcymm ym vlmnmzmlmcuun symmm uwu mummy m yyyymymmm zmnmammm mm mummy. 0mm.” Dmmliwym Dinnmcanmmwu myysymyy wyyyy m mll‘tvmmnm pmyyyyyuwyynpym mum wym m- .xc-pyyuy m ynyymu and cunwmmn:  an... ayysy In m... m- mm mm my may a.- ,mu m m—unhv-m nu ma... Mm m um  yx my ysy mDEczm‘l  uyyzoys auq‘smmwzmmark wmumummﬂhy in myer many u: wasyuyuymm mum  Humm‘yn 7‘95me lm-mmnlmnwa amllmmyogylm PPAX-vszusuz/zmsawyusA Lchms Auwm"
HCP - RHEUM Animated Banner MOA_p0-180.png,320,1200,DISCOVER A BIOLOGIC
HCP - RHEUM Animated Banner MOA_p1-4.png,320,1200,THAT TARGETS IL-17A TO TREAT
HCP - RHEUM Animated Banner MOA_p2-8.png,320,1200,MULTIPLE DOMAINS OF PsA
HCP - RHEUM Animated Banner MOA_p3-12.png,320,1200,talt‘E‘  (ixekizvumab) Injection 80mg/mL  THINK SPECIFIC TARGETING.  THINK TA TZ. >  Prescribing Information  INDICATION AND IMPORTANT SAFETY INFORMATION     Taltz is indicated for the treatment of adult patients with active psoriatic arthritis. Taltz is also indicated for adult patients with moderate to severe la ue soriasis
HCP - RHEUM Animated Banner MOA_p4-16.png,600,500,DISCOVER A BIOLOGIC  9.!
HCP - RHEUM Animated Banner MOA_p5-20.png,600,500,THAT TARGETS lL-17A TO TREAT
HCP - RHEUM Animated Banner MOA_p6-24.png,600,500,MULTIPLE DOMAINS OF PsA
HCP - RHEUM Animated Banner MOA_p7-28.png,600,500,e» talltz . _ ‘ (ixeklzumabhmection 80mg/mL  THINK SPECIFIC TARGETING.  THINK TALTZ. >  Prescribing Information  INDICATION AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for the treatment of adult patients  uliOk aiding nnnriaﬂn nﬂhriﬁo Tans in clan inrlinainrl ‘nr
HCP - RHEUM Animated Banner MOA_p9-36.png,600,1200,THAT TARGETS |L-17A TO TREAT
HCP - RHEUM Animated Banner MOA_p10-40.png,600,1200,MULTIPLE DOMAINS OF PsA
HCP - RHEUM Animated Banner MOA_p11-44.png,600,1200,"taltz  (ixekizumab) injection 80 mg/mL  THINK SPECIFIC TARGETING.  THINK TALTZ. >  Prescribing Information  INDICATION AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for the treatment of adult patients with active psoriatic arthritis. Taltz is also indicated for adult patients with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as"
HCP - RHEUM Animated Banner MOA_p12-48.png,620,526,DISCOVER A BIOLOGIC  Q.)
HCP - RHEUM Animated Banner MOA_p13-52.png,620,526,THAT TARGEFS lL-17A TO TREAT
HCP - RHEUM Animated Banner MOA_p15-60.png,620,526,talt‘E“  (ixekizumab) injection 80 mg/mL  THINK SPECIFIC TARGETING.  THINK TALTZ. >  Prescribing Information  INDICATION AND IMPORTANT SAFETY INFORMATION  Taltz is Indicateg! f_or the trgatment pf adult patients
HCP - RHEUM Animated Banner MOA_p16-64.png,1456,180,\I  DISCOVER A BIOLOGIC
HCP - RHEUM Animated Banner MOA_p17-68.png,1456,180,% THAT TARGETS lL-17A TO TREAT
HCP - RHEUM Animated Banner MOA_p18-72.png,1456,180,U  MULTIPLE DOMAINS OF PsA
HCP - RHEUM Animated Banner MOA_p19-76.png,1456,180,Prescribing Information           THINK SPECIFIC ‘4; TARGETING_ ta |t Z INDICATION AND IMPORTANT SAFETY (ixekizumab) Iniectiom INFORMATION THINK TAL'IZ > 80mg/mL Taltz Is indicated for the treatment of adult patients  with active psoriatic arthritis. Taltz IS also indicated (N d 1 n 4' an): n; 'kh
HCP - RHEUM Animated Banner MOA_p20-193.png,8000,525,Mg lnfnrmation  D I S C O\/ E R A B I 0 L0 G I C INDICATION AND IMPORTANT SAFETY i  INFORMATION
HCP - RHEUM Animated Banner MOA_p21-188.png,8000,525,Mg lnfnrmation  TH AT TA R G ETS I L- 1 7A TO TR E AT INDICATION AND IMPORTANT SAFETY i  INFORMATION
HCP - RHEUM Animated Banner MOA_p22-88.png,1920,126,U  MULTIPLE DOMAINS OF PsA  Prescribing Information        INDICATION AND IMPORTANT SAFETY INFORMATION  I
HCP - RHEUM Animated Banner MOA_p23-92.png,1920,126,Prescribing Information  .‘é’ THINK SPECIFIC TARGETING. EgLUtnng mggrﬂmoﬁmIMPORTANTSAFETY  80 mg/mL
HCP - RHEUM Animated Banner MOA_p24-96.png,320,3299,"INDICATION AND IMPORTANT SAFETY INFORMATION  Taltz is indicated for the treatment of adult patients with active psoriatic arthritis. Taltz is also indicated for adult patients with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy.  CONTRAINDICATIONS  Taltz is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients  WARNINGS AND PRECAUTIONS  Infections  Taltz may increase the risk of infection. In clinical trials of patients with plaque psoriasis, the Taltz group had a higher rate of infections than the placebo group (27% vs 23%). A similar' Increase in risk of infection was seen in placebo-controlled trials of patients with psoriatic arthritis. Serious infections have occurred. Instruct patients to seek medical advice if signs or symptoms of clinically important chronic or acute infection occur. If a serious infection develops, discontinue Taltz until the infection resolves  Pre-Treatment Evaluation for Tuberculosis  Evaluate patients for tuberculosis (TB) infection prior to initiating treatment with Taltz. Do not administer to patients with active TB infection. Initiate treatment of latent TB prior to administering Taltz. Closely monitor patients receiving Taltz for signs and symptoms of active TB during and after treatment.  Hypersensitivity  Serious hypersensitivity reactions including angioedema and urticaria (each 50.1%), occurred in the Taltz group in clinical trials. Anaphylaxis, including cases leading to hospitalization, has been reported in post-marketing use with Taltz. If a serious hypersensitivity reaction occurs, discontinue Taltz immediately and initiate appropriate therapy  Inflammatory Bowel Disease  During Taltz treatment, monitor patients for onset or exacerbations of inflammatory bowel disease. Crohn’s disease and ulcerative colitis, including exacerbations, occurred at a greater frequency in the Taltz group (Crohn‘s disease 0.1%, ulcerative colitis 0.2%) than in the placebo group (0%) during clinical trials in patients with plaque psoriasis  Immunizations  Prior to initiating therapy with Taltz, consider completion of all age- appropriate immunizations according to current immunization guidelines. Avoid use of live vaccines in patients treated with Taltz.  ADVERSE REACTIONS  Most common adverse reactions (21%) associated with Taltz treatment are injection site reactions, upper respiratory tract infections, nausea, and tinea infections. Overall, the safety profile observed in patients with psoriatic arthritis was consistent with the safety profile in patients with plaque psoriasis, with the exception of influenza and conjunctivitis.  Please click to access the Prescribing Information and Medication Guide. Please see Instructions for Use included with the device.  IX HCP ISI 01DEC2017  Reference: 1. ClinicalTrials.gov Identifier: NCT03151551.  PP-lX-US-2257 08/2019 ©Lilly USA, LLC 2019. All rights reserved.  55%"
HCP - RHEUM TCAP Animated Banners_p0-78.png,600,500,taltz  (Ixekizumab) injection 80mg/mL  _‘
HCP - RHEUM TCAP Animated Banners_p1-4.png,600,500,THE ENHANCED TALTZ CLEAR ACCESS PROGRAM  _‘
HCP - RHEUM TCAP Animated Banners_p2-8.png,600,500,talt‘jz THE ENHANCED TALTZ (\xekxzumabjmecﬂon CLEAR ACCESS PROGRAM  ASSURING ACCESS 50 YOUR COMMERCIALLY  INSURED PATIENTS CAN CONFIDENTLY GET TALTZ  _‘
HCP - RHEUM TCAP Animated Banners_p3-12.png,600,500,"tal’Fz THE ENHANCED TALTZ {wxekxzuman‘smemm CLEAR ACCESS PROGRAM  so my"":  '—  Taltz can be authorized to ship within 2 business days after prescription‘  GET PATIENTS STARTED  'Goverumeuta} beneﬁcxanes excmded Chck above f0: addmoma‘ ‘evms and Condwtmns        PP»|X»US»2276 10/2018"
HCP - RHEUM TCAP Animated Banners_p4-16.png,600,1200,taltz  (ixekizumab) injection 80 mg/mL  4
HCP - RHEUM TCAP Animated Banners_p5-20.png,600,1200,THE ENHANCED TALTZ CLEAR ACCESS PROGRAM        4
